REP 	00:00:00:00	V1	White	(REP )  Det nya normala är liksom att det är hemska saker, ja fy sjutton.
REP 	00:03:44:00	V1	White	(REP )  Så vi ska se, vi har några till här under också. Här ska du skriva till Roger, till mig själv.
LOFVEN	00:04:14:00	V1	White	(LOFVEN)  Till mig själv, ja.
LOFVEN	00:04:14:00	V1	White	(LOFVEN)  Man fastnar med handen. Finns det något vanligt pappersark att lägga under? Då kan man röra handen bättre.
REP 	00:04:49:00	V1	White	(REP )  Va bara. Tack så mycket! Du har ju fått våra frågeställningar. Det är ingen hjärnkirurgi och vi ska försöka spegla i den här dokumentären den här långa tiden som kungen faktiskt varit kung och vad som har hänt i det här landet. Det är ju vansinnigt mycket. Vi är så tacksamma att vi får
REP 	00:04:49:00	V1	White	(REP )  ha med våra statsministrar. Vart ville du att jag skulle sitta?
REP 	00:05:26:00	V1	White	(REP )  Jag vill gärna att du sitter här bredvid mig.
LOFVEN	00:05:33:00	V1	White	(LOFVEN)  Så otroligt omvälvande år som du har varit statsminister.
REP 	00:05:37:00	V1	White	(REP )  Ja, det har hänt lite.
LOFVEN	00:05:39:00	V1	White	(LOFVEN)  Det kan man lugnt säga.
LOFVEN	00:05:45:00	V1	White	(LOFVEN)  Vi kommer intervjua jättemånga utländska ledare också. Vi har pratat med danska drottningen. Jag väntar på svar från en som är från Norge. Från Finland blir det antingen Tarja Halonen eller Niinistö. De har ju väldigt stark koppling till Finland såklart. Så söker vi gärna någon
LOFVEN	00:05:45:00	V1	White	(LOFVEN)  från Tyskland också, förbundspresidenten kanske.
REP 	00:05:59:00	V1	White	(REP )  Vi kanske ska prova med Merkel. Det hade ju varit coolt
REP 	00:06:18:00	V1	White	(REP )  Tagning ett.
REP 	00:06:18:00	V1	White	(REP )  Då ber jag dig att berätta vad du heter och den kanske tjusigaste titel som du har haft genom årens lopp.
LOFVEN	00:06:29:00	V1	White	(LOFVEN)  Jag heter Stefan Löfvén och jag var Sveriges statsminister mellan 2014 och 2021.
REP 	00:06:39:00	V1	White	(REP )  Då går vi tillbaka redan till 70-talet när kungen tillträdde -73. Har du några personliga minnen av den händelsen?
LOFVEN	00:06:51:00	V1	White	(LOFVEN)  Ja, jag personligen kommer väldigt väl ihåg den tiden när kung Gustav Adolf den sjätte låg på sjukhus i Helsingborg. Vi fick hela tiden via tv information om hur hälsotillståndet var och alla förstod att nu kan det mycket väl hända att han dör. Vi fick det beskedet sedan och då minns
LOFVEN	00:06:51:00	V1	White	(LOFVEN)  jag att alla pratade om, även i min familj, att en ny kung, ung, skulle tillträda och vi ville bara att det skulle gå bra.
REP 	00:07:29:00	V1	White	(REP )  Tror du att du hade någon speciell syn på kungen under de här åren? Under den här tiden, en personlig syn?
LOFVEN	00:07:40:00	V1	White	(LOFVEN)  Kungen var ju naturligtvis kronprins förut så det var ju det man följde, men förstod då också att en kronprins naturligtvis, som kronprinsessan nu också, successivt skolas in i uppdraget. Det är ju ett tungt uppdrag att vara statschef, det har man ju förstått att det ingår i hela
LOFVEN	00:07:40:00	V1	White	(LOFVEN)  ens uppväxt. Jag kan inte detaljerna i det, men det är säkerligen så att det är något som du måste utbildas i successivt och att det var en relativt ung kung som skulle ta vid här nu med allt vad det innebär.
REP 	00:08:20:00	V1	White	(REP )  Får jag bara bryta lite snabbt. Alltid något med ljuset.
LOFVEN	00:08:34:00	V1	White	(LOFVEN)  Alla frågar om det är ljuset och det är ganska naturligt.
LOFVEN	00:08:44:00	V1	White	(LOFVEN)  I Socialdemokraternas partiprogram så står det att man ska verka för att avskaffa monarkin. Hur kommer det sig?
REP 	00:08:59:00	V1	White	(REP )  Det är en ideologisk utgångspunkt att man inte ska ärva positioner och speciellt inte maktpositioner. Det där har diskuterats under lång tid i socialdemokratin, som står i partiprogrammet, några driver att det där borde genomföras. Medans andra, jag kommer ihåg min egen fostermor,
REP 	00:08:59:00	V1	White	(REP )  en arbetarkvinna som absolut inte tyckte att kungahuset skulle avskaffas utan det skulle vara kvar. Så det finns nog delade meningar också inom socialdemokratin. Men den principiella hållningen är den och samtidigt då när den så kallade Torekovskompromissen kom till i början
REP 	00:08:59:00	V1	White	(REP )  på 70-talet. Den kompromissen innebar egentligen att kungens politiska makt minskade ännu mer. Det var ju i utbyte mot att kungahuset skulle vara kvar. Jag tycker det var en bra kompromiss, jag kan se stora fördelar också med ett kungahus och jag har ju sett nära vad det innebär
REP 	00:08:59:00	V1	White	(REP )  också när man är ute och representerar. Jag brukar alltid hänvisa till min fostermamma Iris som alltid sa att kungahuset ska vara kvar.
LOFVEN	00:10:10:00	V1	White	(LOFVEN)  Men kanske det har varit rätt vanligt att kungahuset har haft rätt stort stöd hos just, vad ska man säga, det arbetande folket, vanliga människor.
REP 	00:10:20:00	V1	White	(REP )  Ja, men det är så faktiskt. Det är någonting där som jag tror är något som binder ihop landet. Det finns en trygghet, en kontinuitet. Det är det jag tror att många känner med kungahuset. Jag tror det väger över hos många.
LOFVEN	00:10:41:00	V1	White	(LOFVEN)  Kommer du ihåg första gången du mötte vår kung och hur och när var det?
REP 	00:10:46:00	V1	White	(REP )  Ja, det var när jag var IF Metalls förbundsordförande och det ska ha varit på några mottagningar när Brasiliens president Lula besökte Sverige. Då blev jag inbjuden till den där middagen på slottet för att hedra president Lula då. Sen någon gång när jag var vice ordförande i det
REP 	00:10:46:00	V1	White	(REP )  som då hette Exportrådet och då var kungen med och delade ut ett fint pris till de företag som hade lyckats med export på ett bra sätt. I samband med en sådan prisutdelning fick jag också möjlighet att träffa kungen.
LOFVEN	00:11:28:00	V1	White	(LOFVEN)  Fick du någon känsla av honom? Eller som kanske kom senare?
REP 	00:11:34:00	V1	White	(REP )  Ja, det var ju som sagt var väldigt formellt. När det till exempel är middag på slottet så går ju kungaparet och alla i kungafamiljen runt och hälsar på alla gäster men då blir det ett kort handslag och hej och god kväll. Men då är det ganska korta möten.
LOFVEN	00:11:58:00	V1	White	(LOFVEN)  Men sen blev du ju partiordförande och då fick du anledning att träffa kungahuset relativt oftare.
REP 	00:12:09:00	V1	White	(REP )  Det blev ju oftare då, ja. Fast egentligen det riktiga sker ju när du blir statsminister. Men kungahuset träffar ju alla partiföreträdare, men oftare blir det när du är statsminister. Då finns det anledning både till bilaterala möten med kungen men också konseljer och naturligtvis
REP 	00:12:09:00	V1	White	(REP )  fler middagar när det är statsbesök i landet.
LOFVEN	00:12:36:00	V1	White	(LOFVEN)  Hur upplever du att samarbetet mellan kungen och statsministern har fungerat under din tid?
REP 	00:12:41:00	V1	White	(REP )  Jag tycker det har fungerat alldeles utmärkt och det finns ju en kunskap, en grundläggande kunskap om just rollfördelningen statschef, regeringschef men också betydelsen av att de båda fungerar och fungerar tillsammans. Så jag tycker att det har fungerat alldeles utmärkt
REP 	00:12:41:00	V1	White	(REP )  med både konseljerna men också de bilaterala samtal som vi har haft. När kungen naturligtvis vill ha information om utvecklingen i olika frågor, både nationellt och internationellt. Det har jag känt har varit bra. Och inte minst vid svåra tillfällen för landet då har det också
REP 	00:12:41:00	V1	White	(REP )  fungerat alldeles utmärkt.
LOFVEN	00:13:26:00	V1	White	(LOFVEN)  Vad är din personliga uppfattning om hur kungen har utvecklats som statschef de här 50 åren?
REP 	00:13:33:00	V1	White	(REP )  Det är inte upp till mig att recensera det. Men det är klart, det är som med alla uppgifter som man ges i livet. Så är det också när du är statsminister. Det är skillnad den första dagen och när du har varit ett tag. Självklart är det så. Men kungen tycker jag har fungerat mycket bra i den
REP 	00:13:33:00	V1	White	(REP )  rollen. Man ser ju vilken betydelse det har också utomlands. Att när en kung, eller en drottning för den delen, eller kronprinsessa finns där så ger det något extra för andra länders representanter och det ska man ta till sig tycker jag.
LOFVEN	00:14:14:00	V1	White	(LOFVEN)  Hur kommunicerar regeringen och kungen med varandra?
REP 	00:14:21:00	V1	White	(REP )  Dels så sker det oftast mellan statsministerns statssekreterare och riksmarskalken. Det måste ske en viss informationsöverföring när vissa saker görs eller sker, då ska det naturligtvis informeras också till statschefen. Sen så är det ju direkt mellan kungen, statschefen
REP 	00:14:21:00	V1	White	(REP )  och regeringschefen. Det kan vara ett telefonsamtal, men det kan också vara att man besöker kungen och informerar om vad som sker. Hur ser utvecklingen ut nu? Är det några speciella problem som som vi ser eller speciella utmaningar. Sen så är det konseljer och vid informationskonseljen
REP 	00:14:21:00	V1	White	(REP )  så kommer regeringens statsråd dit, så många som kan vara med. En del reser naturligtvis eller är på andra ställen. Men då är det oftast så att då inleder kungen naturligtvis och kronprinsessan är också närvarande. Sen så ger då statsministern en övergripande bild och därefter
REP 	00:14:21:00	V1	White	(REP )  får varje statsråd redogöra för sina frågor. Hur ligger det till nu med utrikespolitiken, med finanserna, med näringspolitiken, med kulturen och så vidare.
LOFVEN	00:15:39:00	V1	White	(LOFVEN)  Du säger att det finns ju ändå en slags kontinuerlig kontakt mellan hovet och statsrådsberedningen. Kan du dra dig till minnes något speciellt som anledning till att du var tvungen att kontakta kungen under dina år?
REP 	00:15:53:00	V1	White	(REP )  Ja, det är flera som jag nämnde tidigare, några för landet svåra situationer. Det började rätt tidigt när vi tillträdde hösten 2014 med en ubåtskränkning som försvaret informerade om. Nu har vi blivit kränkta. Det är ett sådant tillfälle och då har man naturligtvis ett utbyte.
REP 	00:15:53:00	V1	White	(REP )  Det fruktansvärda terrorattentatet då är det kronprinsessan som var på plats här men det spelade också då tror jag en väldigt viktig roll för allmänheten. Att det finns en central punkt där man möts på något sätt via en företrädare för kungahuset. Det är inte minst vid den typen
REP 	00:15:53:00	V1	White	(REP )  av situationer när landet upplever något speciellt svårt som det blir uppenbart att då måste kontakten fungera.
LOFVEN	00:16:53:00	V1	White	(LOFVEN)  Är det skönt som politisk ledare att slippa den roll som kungen och hans familj har för att ena nationen i exempelvis sorg?
REP 	00:17:04:00	V1	White	(REP )  Ja, fast där menar jag att också en statsminister, en regeringschef och en regering har betydelse. Det har jag känt i utövandet av rollen som regeringschef att också bidra till det. Det tror jag är viktigt. Men det är ändå så att både kungahuset i det fallet och regeringen ska ha den
REP 	00:17:04:00	V1	White	(REP )  typen av roller och de kompletterar varandra helt enkelt.
LOFVEN	00:17:40:00	V1	White	(LOFVEN)  Vi kan ta just Drottninggatan som har varit en av de mest hemska händelserna under din regeringstid. Hur fick du själv reda på att det skett ett terrordåd där?
REP 	00:17:52:00	V1	White	(REP )  Jag var på besök i en skola i Skaraborg. Om ni kommer ihåg så var det en fruktansvärd bussolycka med ungdomar uppe i Norrland och då besökte jag den skolan för att hedra de offren där och prata med lärare, med skolan, med kommunen om hur man upplevde den situationen. När jag sitter där
REP 	00:17:52:00	V1	White	(REP )  och pratar med lärare och andra företrädare då kommer en utav mina pressekreterare fram och vill prata med mig. Så vi gick på sidan och då sa han först att det har hänt någonting i Stockholm. Vi vet inte riktigt vad det är för någonting, det kan vara ett terrorattentat, men vi vet för
REP 	00:17:52:00	V1	White	(REP )  lite just nu. Så fortsätter jag samtalet men kanske 15-20 minuter senare så kom det. Att det är en lastbil som har kört på Drottninggatan och människor har omkommit. Då visste vi inte exakt hur många som hade omkommit eller skadats och så vidare. Men då beslöt vi, och då var jag på väg
REP 	00:17:52:00	V1	White	(REP )  till... Ska vi ta om det här litegrann det blev för ryckigt.
REP 	00:19:01:00	V1	White	(REP )  Då befinner jag mig på en skola i Skaraborg för vi besökte den skola där elever som hade omkommit i den fruktansvärda bussolyckan uppe i Norrland, där de hade gått. Vi vill naturligtvis visa vår respekt och det fanns en minnesplats iordninggjord där. Också naturligtvis prata med
REP 	00:19:01:00	V1	White	(REP )  lärare, med skolan, med kommunen hur de upplevde detta. Då fick jag först en kort information av min pressekreterare att någonting har hänt i Stockholm. Vi vet inte vad det är, vi får se till att få mer information och så återkommer vi så snabbt som möjligt. Efter en kvart 20 minuter
REP 	00:19:01:00	V1	White	(REP )  så återkom pressekreteraren en gång till och berättade att det hade varit en lastbil som kört på Drottninggatan och vi vet inte omfånget av skador eller dödade. Då beslöt jag att, jag var ju ursprungligen på väg till Göteborg för vårt parti skulle ha kongress där. Men då beslöt jag
REP 	00:19:01:00	V1	White	(REP )  att nu åker vi inte till Göteborg utan nu åker vi tillbaks till Stockholm helt enkelt. Så vi åkte först bil och sedan helikopter och sen snabbt till Rosenbad för att där på plats hantera, samla regeringen och få mer information och agera.
LOFVEN	00:20:19:00	V1	White	(LOFVEN)  Och i det läget så kontaktar ni även Hovet.
REP 	00:20:22:00	V1	White	(REP )  Ja, det är klart att då gör vi det. Vi ska se till att det finns den kontakten mellan regeringen och hovet.
LOFVEN	00:20:28:00	V1	White	(LOFVEN)  Men kungen var vid tillfället utomlands.
REP 	00:20:33:00	V1	White	(REP )  Kungen var utomlands och kronprinsessan gick naturligtvis in då och agerade och då är det viktigt att man har kontakt.
LOFVEN	00:20:42:00	V1	White	(LOFVEN)  Hur tycker du hon skötte den rollen?
REP 	00:20:45:00	V1	White	(REP )  Fantastiskt bra. Det är väldigt svårt. Men ja, det var väldigt bra.
LOFVEN	00:21:01:00	V1	White	(LOFVEN)  Ska vi bara få in att det kronprinsessan gjorde var väldigt bra.
LOFVEN	00:21:16:00	V1	White	(LOFVEN)  Du är en väldigt bra berättare, det måste jag säga.
REP 	00:21:22:00	V1	White	(REP )  Hoppas du sitter och skriver på något.
REP 	00:21:30:00	V1	White	(REP )  Jag tycker politiska memoarer är absolut det bästa som finns.
REP 	00:21:50:00	V1	White	(REP )  Kronprinsessan gjorde det ju väldigt bra. Mycket starkt att i en svår situation vara just den samlande kraften som man vänder sig till, i det här fallet då till kronprinsessan eftersom kungen var utomlands.
LOFVEN	00:22:09:00	V1	White	(LOFVEN)  Då går vi in på nästa bekymmer och det var ju då pandemin. Alltså det här som statsminister också. När du tittar tillbaka på den här tiden nu, hur känns det egentligen?
REP 	00:22:24:00	V1	White	(REP )  Ja, det har ju hänt en hel del kan man säga. Men det ingår ju på något vis. Vi vet ju att när som helst kan det hända någonting och vi har tränat på kriser. Hur hanterar man kriser? Det är lätt att göra för mycket säkert och att vara för mycket i detaljer. Men vi har ju mycket bra myndigheter.
REP 	00:22:24:00	V1	White	(REP )  Om det händer något som involverar polisen så är det polisen som hanterar det operationella. Regeringens uppgift är att se till att det finns resurser. Behöver polisen eller någon annan myndighet eller annan aktör mer resurser? Det är vår uppgift att se till att de kommer på plats
REP 	00:22:24:00	V1	White	(REP )  och det andra är naturligtvis informationen och kontakten med samhället så att medborgarna får en så bra information som möjligt. Vad som händer, har hänt, kan komma att hända. Tredje delen är kontakten med omvärlden, med andra länder. Det är de tre basala uppgifterna som regeringen
REP 	00:22:24:00	V1	White	(REP )  ska hantera. Men det är lätt naturligtvis i en kris att gå för mycket in i detaljer. Men det blir inget bra utan de som har det mandatet i vanliga fall skall också ha det i en svår situation.
LOFVEN	00:23:42:00	V1	White	(LOFVEN)  När detta inträffade så höll både du som statsminister och kungen tal till nationen. Hur bestämmer man vem som pratar och vad man säger vid ett sådant tillfälle?
REP 	00:23:55:00	V1	White	(REP )  Det gör ganska mycket sig självt ändå. Just att det finns olika roller, statschefen har en roll, en betydelse. Regeringen lite mer operationell utan att gå in i detalj. Då är det mer att prata om vad som görs vad gäller reformer, resurstillskott, men också se till att agera själv
REP 	00:23:55:00	V1	White	(REP )  som person så att man inte bidrar till en ännu värre pandemi. Där kan ju budskapen vara de samma naturligtvis, att det gäller att vi själva tar vårt eget ansvar, som kungahuset också kan uttrycka, och vi kan uttrycka. Kungahuset är också viktigt för att ingjuta hopp, att vi ändå kommer
REP 	00:23:55:00	V1	White	(REP )  att klara det här bara vi gör rätt. Så delvis liknande budskap, det kan man ha. Men sen finns ju en gräns naturligtvis, där det är regeringen som ska ge uttryck för vad som sker rent politisk.
LOFVEN	00:24:53:00	V1	White	(LOFVEN)  Brukar regeringen ha formella åsikter på ett sånt här tal innan det hålls av statschefen?
REP 	00:25:00:00	V1	White	(REP )  Nej. Det kan hända att man ibland stämmer av saker, men hovet, kungen, kungafamiljen kan det där och vet vad de vill uttrycka och jag har aldrig upplevt att det har varit något problem.
LOFVEN	00:25:21:00	V1	White	(LOFVEN)  Kungen sa ju efter dig i ett läge av pandemin att han tyckte att vi hade misslyckats med pandemin. En del upplevde det som kritik mot regeringen, andra menar att det var hela samhället. Hur såg du på det?
REP 	00:25:37:00	V1	White	(REP )  Jag såg det inte som någon kritik mot regeringen men det är klart att jag kunde säga eller känna samma sak. Med så pass många avlidna människor så kan man inte säga att det här gick jättebra. Men å andra sidan, det var ju en oerhört svår situation. Sen har jag också sagt att vi behöver
REP 	00:25:37:00	V1	White	(REP )  vänta tills vi vet hur det har gått i hela pandemin. Det är ännu inte slut. Men visst, med så många avlidna så stod det klart. Och det vi visste skedde inte minst i äldreomsorgen där det var för lite utbildad personal och för lite personal ibland, personal med för dåliga arbetsvillkor
REP 	00:25:37:00	V1	White	(REP )  och anställningsvillkor. Då måste man också ge uttryck för att det där var inte bra.
LOFVEN	00:26:28:00	V1	White	(LOFVEN)  Hur tyckte du kungen kommunicerade med folket under pandemin, visade att han hade tagit vaccin och sånt där?
REP 	00:26:37:00	V1	White	(REP )  Jag tycker det var väldigt viktig det kungen förmedlade, också drottningen och kungahuset, att nu tar vi det här ansvaret. Man var snabbt inne och drog sig åt sidan, såg till att inte umgås mycket med folk, man drog ner på all representation och allt sånt. Det var ett tydligt tecken
REP 	00:26:37:00	V1	White	(REP )  på att här gäller det att vi gör något och vi gör det här. Det tror jag var ett bra budskap till människor att kungen och kungafamiljen, hovet, visar att vi tar det här på största allvar och gör det på det här sättet.
LOFVEN	00:27:18:00	V1	White	(LOFVEN)  Jag måste få prata lite om klimatet. Hur har du märkt av kungens miljöengagemang? I hans roll som statschef?
REP 	00:27:26:00	V1	White	(REP )  Det kan vara till exempel under konseljerna. Det har ju funnits många frågor om just klimat och miljö. Det är ju ett intresse som jag har fått del av tidigare när man har hört på kungen eller sett kungen i intervjuer. Att det där ligger honom varmt om hjärtat och det känns också väldigt
REP 	00:27:26:00	V1	White	(REP )  bra. Det är ett bra stöd också i det politiska livet att statschefen är så intresserad och engagerad i detta. Inte minst på konseljer, då hör man uppföljningsfrågorna. Att där finns ett intresse och en djup kunskap som visar sig då.
LOFVEN	00:28:05:00	V1	White	(LOFVEN)  Kungen har ju varit engagerad i miljön sedan 1972. Idag har vi ju en ännu kändare klimataktivist i form av Greta Thunberg. Kommer du ihåg första gången du noterade att hon satt och skolstrejkade?
REP 	00:28:21:00	V1	White	(REP )  Jag kan inte komma ihåg exakt vilken dag det var, men jag kommer ihåg den rapporteringen då att nu är det skolstrejk och Greta Thunberg leder det här, det minns jag.
LOFVEN	00:28:33:00	V1	White	(LOFVEN)  Kungaparet beskriver henne som en väldigt modig flicka, eller nu är hon ju kvinna såklart. Hur ser du på hennes insats?
REP 	00:28:41:00	V1	White	(REP )  Men absolut. Det är världsomfattande att uppmärksamma den allvarliga situation som vi är i. Det är klart att det har betydelse och att också vara förebild för så många unga. För det behövs verkligen att unga människor trycker på och ger uttryck för det är faktiskt deras framtid
REP 	00:28:41:00	V1	White	(REP )  som vi pratar om. Det är därför som vi måste göra så mycket mer och snabbare. Så det är ett bra engagemang.
LOFVEN	00:29:12:00	V1	White	(LOFVEN)  Och så går vi till Svenska Akademin. Det stormade ju där ordentligt för ett par år sedan. Vad tänkte du om det?
REP 	00:29:19:00	V1	White	(REP )  Ja det är så att Svenska akademin är inget jag som regeringschef har nära kontakt med. Men akademin är också en del av kontinuiteten i vårt samhälle, har funnits länge och betyder mycket. Då är det någonting som skakar där som jag tror många funderar över. Vad är det som händer? Jag
REP 	00:29:19:00	V1	White	(REP )  var inte alls insatt i alla detaljer där, men jag såg kungens engagemang där och det tror jag hade betydelse att kungen var engagerad för att få det där på plats.
LOFVEN	00:30:00:00	V1	White	(LOFVEN)  Hur tyckte du att han skötte den här uppgiften?
REP 	00:30:03:00	V1	White	(REP )  Jag vill inte recensera det, dels så vet jag inte allt som sker. Jag vill inte recensera kungen på något sätt. Men jag uppfattade i alla fall att kungens engagemang var äkta och han tog det där på djupt allvar och sedermera så löste det upp sig så gott det kunde då. Sen får väl tiden läka
REP 	00:30:03:00	V1	White	(REP )  sår också. Men att hantera den situationen där och då, vad jag förstår utifrån den information jag har så hade det betydelse.
LOFVEN	00:30:32:00	V1	White	(LOFVEN)  Du har redan berättat om att regeringen träffar statschefen vid konseljer, men det finns också en annan former av konseljer, till exempel när kungen har något att berätta, då ni får komma upp till slottet och framför allt då det har kommit någon ny medlem till kungahuset.
REP 	00:30:52:00	V1	White	(REP )  Ja, det har kommit flera nya medlemmar till kungahuset under den tiden som jag var regeringschef. Det är också högtidligt när kungen berättar att det har kommit en ny familjemedlem som ska heta si och så. Då känns det högtidligt tycker jag och det har varit flera sådana roliga tillfällen.
REP 	00:30:52:00	V1	White	(REP )  Ja, det har kommit flera nya medlemmar till kungahuset under den tiden som jag var regeringschef. Det är också högtidligt när kungen berättar att det har kommit en ny familjemedlem som ska heta si och så. Då känns det högtidligt tycker jag och det har varit flera sådana roliga tillfällen.
LOFVEN	00:31:16:00	V1	White	(LOFVEN)  Och där ingår ju en av dina uppgifter. Det var också att inspekterade här små prinsarna och en prinsessa också jag tror att Adrienne föddes i USA i och för sig men det var ju små prinsarna där. Kommer du ihåg vilka prinsar du har inspekterat?
REP 	00:31:32:00	V1	White	(REP )  Ja, den här vill jag att vi håller lite. Det är klart det är speciella tillfällen, så är det. Jag kan förstå att ordningen har tillkommit en gång i tiden, men det är ju lite speciellt ändå att nu ska jag komma och säga att det här är rätt. Nu görs ju det egentligen av den förlossningsläkare
REP 	00:31:32:00	V1	White	(REP )  som har varit med som säger att det här är den personen och då är det ju så. Kanske liten udda, en rolig men en lite udda företeelse ändå att jag ska intyga att det här är rätt person, en liten medborgare som ligger där. Men så går det till och då ska sigillet på och så har man sin stämpel med
REP 	00:31:32:00	V1	White	(REP )  så ska det smältas på ett väldigt icke modernt sätt kan man säga. Smältas för att kunna sätta på sigillet och sedan ska det skrivas under. Det är så det går till.
LOFVEN	00:32:35:00	V1	White	(LOFVEN)  Man kan väl konstatera vad skönt för er och skönt för drottningen och prinsessorna att ni inte gjorde som förr i tiden när de satt samlade för att se så att barnet inte blev utbytt.
LOFVEN	00:32:51:00	V1	White	(LOFVEN)  Vi har också en annan mycket trevlig tillställning under din tid som statsminister. Det var ju 2015 när Carl Philip och Sofia Hellqvist gifter sig med varandra och då är det ju så att du blir informerad om att de ska gifta sig. Hur gick det till?
REP 	00:33:12:00	V1	White	(REP )  Det kom ett samtal per telefon om jag kommer ihåg rätt där man får den informationen. Det är ju bara att glädjas åt att två unga människor vill lova varandra trohet. Det var ju bara att gratulera båda två. Två fina människor.
LOFVEN	00:33:34:00	V1	White	(LOFVEN)  Enligt grundlagen så ska ju ni i regeringen ge dem ert officiella godtyckande att de får gifta sig. Hur tänker du på det?
REP 	00:33:41:00	V1	White	(REP )  Det känns ju lite märkligt måste jag säga. Men å andra sidan, det är ju bara att inte göra någon stor affär av det hela utan det är klart att det måste bli så. Det är mera att man tycker att det är roligt för de två som har funnit varandra och känner den tryggheten så att man vill gifta sig.
REP 	00:33:41:00	V1	White	(REP )  Det känns ju lite märkligt måste jag säga. Men å andra sidan, det är ju bara att inte göra någon stor affär av det hela utan det är klart att det måste bli så. Det är mera att man tycker att det är roligt för de två som har funnit varandra och känner den tryggheten så att man vill gifta sig.
LOFVEN	00:34:03:00	V1	White	(LOFVEN)  Vad tyckte du om det här prinsbröllopet? Ni var ju där.
REP 	00:34:07:00	V1	White	(REP )  Det är ju väldigt högtidligt naturligtvis. Det är roligt att få vara med om det måste jag ju säga. Både själva ceremonin i kyrkan som var väldigt fin men också efteråt med festen. Ståtligt. Andra kungar och drottningar som kommit, andra kungafamiljer som kommer hit. Så det var det
REP 	00:34:07:00	V1	White	(REP )  väldigt speciellt och roligt att få ha upplevt.
LOFVEN	00:34:38:00	V1	White	(LOFVEN)  Var du med när Avicii spelade i Karl XI:s galleri sen på efterfesten?
REP 	00:34:43:00	V1	White	(REP )  Nej, det var jag inte.
LOFVEN	00:34:44:00	V1	White	(LOFVEN)  Nu går vi från högt till lågt här. Men vi vill ändå ställa frågan. Vad kände du när du fick veta att Avicii hade tagit sitt liv i Oman?
REP 	00:34:58:00	V1	White	(REP )  Det är naturligtvis en tragedi för honom som väljer att sluta sitt liv och för hans familj framför allt. Det är där man lägger första tanken. Det måste ju vara något alldeles fruktansvärt att uppleva att ens barn väljer att avsluta sitt liv. Det är tragiskt helt enkelt. Stor sorg.
REP 	00:34:58:00	V1	White	(REP )  Det är naturligtvis en tragedi för honom som väljer att sluta sitt liv och för hans familj framför allt. Det är där man lägger första tanken. Det måste ju vara något alldeles fruktansvärt att uppleva att ens barn väljer att avsluta sitt liv. Det är tragiskt helt enkelt. Stor sorg.
